target_id	length	eff_length	est_counts	tpm
Y6D11A.1	865	685.74	180	74.6475
Y37D8A.1	699	519.74	183	100.131
C35D10.16	810	630.74	218	98.2898
M01B12.3	723	543.74	173	90.4809
F35G12.10.1	1028	848.74	869.778	291.431
F35G12.10.2	1151	971.74	537.222	157.219
F02E8.1.1	1185	1005.74	0	0
F02E8.1.2	1065	885.74	252.839	81.1783
F02E8.1.3	1208	1028.74	525.161	145.174
Y53F4B.15	1344	1164.74	196	47.8552
K07A12.3	477	297.74	640	611.286
C53B7.4	522	342.74	285	236.473
B0252.2	1828	1648.74	23	3.96715
ZK455.4	1935	1755.74	22	3.5634
W03G1.7a	1864	1684.74	44.9242	7.58315
W03G1.7b	1714	1534.74	3.07584	0.569944
Y39B6A.20.1	1304	1124.74	3.04955	0.771057
Y39B6A.20.2	1374	1194.74	1242.5	295.751
Y39B6A.20.3	1304	1124.74	3.04955	0.771057
Y39B6A.20.4	1298	1118.74	1180.4	300.056
T18H9.2a	2391	2211.74	140.029	18.0047
T18H9.2b	1775	1595.74	987.321	175.954
H22K11.1	1468	1288.74	1774	391.463
R12H7.2	1475	1295.74	1290	283.122
F21F8.3.1	1243	1063.74	0.914854	0.244579
F21F8.3.2	1253	1073.74	918.085	243.157
F21F8.7	1240	1060.74	1299.64	348.431
K08F8.2	1407	1227.74	2	0.463261
T04C10.4.1	1067	887.74	102.926	32.9719
T04C10.4.2	998	818.74	104.074	36.149
F45E6.2	2377	2197.74	62	8.02265
C07G2.2a	2155	1975.74	219.026	31.5259
C07G2.2b	2164	1984.74	600.419	86.0307
C07G2.2c.1	2281	2101.74	0.127373	0.0172346
C07G2.2c.2	2307	2127.74	116.427	15.561
C07G2.2d.1	2083	1903.74	0	0
C07G2.2d.2	2015	1835.74	0.000319074	4.94291e-05
F26D10.9a	1968	1788.74	118	18.7602
F26D10.9b	863	683.74	0	0
C38C6.2a	2234	2054.74	52.5986	7.27981
C38C6.2b	2091	1911.74	0	0
C38C6.2c.1	1243	1063.74	0	0
C38C6.2c.2	1023	843.74	0.401364	0.135279
T06E4.3a	7715	7535.74	0.103926	0.00392193
T06E4.3b	7712	7532.74	216.681	8.18032
T06E4.3c	3293	3113.74	196.215	17.9206
Y48G1BL.2a	7664	7484.74	153.871	5.84633
Y48G1BL.2b	5621	5441.74	187.129	9.77924
W04D2.1a	3171	2991.74	166.224	15.8006
W04D2.1b	3093	2913.74	138.776	13.5446
W04D2.1c	3047	2867.74	0	0
W04D2.1d	2969	2789.74	0	0
C34E10.6.1	1937	1757.74	8299	1342.68
C34E10.6.2	1846	1666.74	3.08104e-07	5.25692e-08
F27C1.7a.1	861	681.74	0.31332	0.130699
